composition,adults,children,monthly_income,payment,benefit,hourly_wage
"1 adult, 3 children",1,3,2770,650,NC Pre-K,15.92
2 adults,2,0,2770,0,NC Pre-K,15.92
"2 adults, 1 child",2,1,2770,650,NC Pre-K,15.92
"2 adults, 2 children",2,2,2770,650,NC Pre-K,15.92
"2 adults, 3 children",2,3,2770,650,NC Pre-K,15.92
1 adult,1,0,2780,0,NC Pre-K,15.98
"1 adult, 1 child",1,1,2780,650,NC Pre-K,15.98
"1 adult, 2 children",1,2,2780,650,NC Pre-K,15.98
"1 adult, 3 children",1,3,2780,650,NC Pre-K,15.98
2 adults,2,0,2780,0,NC Pre-K,15.98
"2 adults, 1 child",2,1,2780,650,NC Pre-K,15.98
"2 adults, 2 children",2,2,2780,650,NC Pre-K,15.98
"2 adults, 3 children",2,3,2780,650,NC Pre-K,15.98
1 adult,1,0,2790,0,NC Pre-K,16.03
"1 adult, 1 child",1,1,2790,650,NC Pre-K,16.03
"1 adult, 2 children",1,2,2790,650,NC Pre-K,16.03
"1 adult, 3 children",1,3,2790,650,NC Pre-K,16.03
2 adults,2,0,2790,0,NC Pre-K,16.03
"2 adults, 1 child",2,1,2790,650,NC Pre-K,16.03
"2 adults, 2 children",2,2,2790,650,NC Pre-K,16.03
"2 adults, 3 children",2,3,2790,650,NC Pre-K,16.03
1 adult,1,0,2800,0,NC Pre-K,16.09
"1 adult, 1 child",1,1,2800,650,NC Pre-K,16.09
"1 adult, 2 children",1,2,2800,650,NC Pre-K,16.09
"1 adult, 3 children",1,3,2800,650,NC Pre-K,16.09
2 adults,2,0,2800,0,NC Pre-K,16.09
"2 adults, 1 child",2,1,2800,650,NC Pre-K,16.09
"2 adults, 2 children",2,2,2800,650,NC Pre-K,16.09
"2 adults, 3 children",2,3,2800,650,NC Pre-K,16.09
1 adult,1,0,2810,0,NC Pre-K,16.15
"1 adult, 1 child",1,1,2810,650,NC Pre-K,16.15
"1 adult, 2 children",1,2,2810,650,NC Pre-K,16.15
"1 adult, 3 children",1,3,2810,650,NC Pre-K,16.15
2 adults,2,0,2810,0,NC Pre-K,16.15
"2 adults, 1 child",2,1,2810,650,NC Pre-K,16.15
"2 adults, 2 children",2,2,2810,650,NC Pre-K,16.15
"2 adults, 3 children",2,3,2810,650,NC Pre-K,16.15
1 adult,1,0,2820,0,NC Pre-K,16.21
"1 adult, 1 child",1,1,2820,650,NC Pre-K,16.21
"1 adult, 2 children",1,2,2820,650,NC Pre-K,16.21
"1 adult, 3 children",1,3,2820,650,NC Pre-K,16.21
2 adults,2,0,2820,0,NC Pre-K,16.21
"2 adults, 1 child",2,1,2820,650,NC Pre-K,16.21
"2 adults, 2 children",2,2,2820,650,NC Pre-K,16.21
"2 adults, 3 children",2,3,2820,650,NC Pre-K,16.21
1 adult,1,0,2830,0,NC Pre-K,16.26
"1 adult, 1 child",1,1,2830,650,NC Pre-K,16.26
"1 adult, 2 children",1,2,2830,650,NC Pre-K,16.26
"1 adult, 3 children",1,3,2830,650,NC Pre-K,16.26
2 adults,2,0,2830,0,NC Pre-K,16.26
"2 adults, 1 child",2,1,2830,650,NC Pre-K,16.26
"2 adults, 2 children",2,2,2830,650,NC Pre-K,16.26
"2 adults, 3 children",2,3,2830,650,NC Pre-K,16.26
1 adult,1,0,2840,0,NC Pre-K,16.32
"1 adult, 1 child",1,1,2840,650,NC Pre-K,16.32
"1 adult, 2 children",1,2,2840,650,NC Pre-K,16.32
"1 adult, 3 children",1,3,2840,650,NC Pre-K,16.32
2 adults,2,0,2840,0,NC Pre-K,16.32
"2 adults, 1 child",2,1,2840,650,NC Pre-K,16.32
"2 adults, 2 children",2,2,2840,650,NC Pre-K,16.32
"2 adults, 3 children",2,3,2840,650,NC Pre-K,16.32
1 adult,1,0,2850,0,NC Pre-K,16.38
"1 adult, 1 child",1,1,2850,650,NC Pre-K,16.38
"1 adult, 2 children",1,2,2850,650,NC Pre-K,16.38
"1 adult, 3 children",1,3,2850,650,NC Pre-K,16.38
2 adults,2,0,2850,0,NC Pre-K,16.38
"2 adults, 1 child",2,1,2850,650,NC Pre-K,16.38
"2 adults, 2 children",2,2,2850,650,NC Pre-K,16.38
"2 adults, 3 children",2,3,2850,650,NC Pre-K,16.38
1 adult,1,0,2860,0,NC Pre-K,16.44
"1 adult, 1 child",1,1,2860,650,NC Pre-K,16.44
"1 adult, 2 children",1,2,2860,650,NC Pre-K,16.44
"1 adult, 3 children",1,3,2860,650,NC Pre-K,16.44
2 adults,2,0,2860,0,NC Pre-K,16.44
"2 adults, 1 child",2,1,2860,650,NC Pre-K,16.44
"2 adults, 2 children",2,2,2860,650,NC Pre-K,16.44
"2 adults, 3 children",2,3,2860,650,NC Pre-K,16.44
1 adult,1,0,2870,0,NC Pre-K,16.49
"1 adult, 1 child",1,1,2870,650,NC Pre-K,16.49
"1 adult, 2 children",1,2,2870,650,NC Pre-K,16.49
"1 adult, 3 children",1,3,2870,650,NC Pre-K,16.49
2 adults,2,0,2870,0,NC Pre-K,16.49
"2 adults, 1 child",2,1,2870,650,NC Pre-K,16.49
"2 adults, 2 children",2,2,2870,650,NC Pre-K,16.49
"2 adults, 3 children",2,3,2870,650,NC Pre-K,16.49
1 adult,1,0,2880,0,NC Pre-K,16.55
"1 adult, 1 child",1,1,2880,650,NC Pre-K,16.55
"1 adult, 2 children",1,2,2880,650,NC Pre-K,16.55
"1 adult, 3 children",1,3,2880,650,NC Pre-K,16.55
2 adults,2,0,2880,0,NC Pre-K,16.55
"2 adults, 1 child",2,1,2880,650,NC Pre-K,16.55
"2 adults, 2 children",2,2,2880,650,NC Pre-K,16.55
"2 adults, 3 children",2,3,2880,650,NC Pre-K,16.55
1 adult,1,0,2890,0,NC Pre-K,16.61
"1 adult, 1 child",1,1,2890,650,NC Pre-K,16.61
"1 adult, 2 children",1,2,2890,650,NC Pre-K,16.61
"1 adult, 3 children",1,3,2890,650,NC Pre-K,16.61
2 adults,2,0,2890,0,NC Pre-K,16.61
"2 adults, 1 child",2,1,2890,650,NC Pre-K,16.61
"2 adults, 2 children",2,2,2890,650,NC Pre-K,16.61
"2 adults, 3 children",2,3,2890,650,NC Pre-K,16.61
1 adult,1,0,2900,0,NC Pre-K,16.67
"1 adult, 1 child",1,1,2900,650,NC Pre-K,16.67
"1 adult, 2 children",1,2,2900,650,NC Pre-K,16.67
"1 adult, 3 children",1,3,2900,650,NC Pre-K,16.67
2 adults,2,0,2900,0,NC Pre-K,16.67
"2 adults, 1 child",2,1,2900,650,NC Pre-K,16.67
"2 adults, 2 children",2,2,2900,650,NC Pre-K,16.67
"2 adults, 3 children",2,3,2900,650,NC Pre-K,16.67
1 adult,1,0,2910,0,NC Pre-K,16.72
"1 adult, 1 child",1,1,2910,650,NC Pre-K,16.72
"1 adult, 2 children",1,2,2910,650,NC Pre-K,16.72
"1 adult, 3 children",1,3,2910,650,NC Pre-K,16.72
2 adults,2,0,2910,0,NC Pre-K,16.72
"2 adults, 1 child",2,1,2910,650,NC Pre-K,16.72
"2 adults, 2 children",2,2,2910,650,NC Pre-K,16.72
"2 adults, 3 children",2,3,2910,650,NC Pre-K,16.72
1 adult,1,0,2920,0,NC Pre-K,16.78
"1 adult, 1 child",1,1,2920,650,NC Pre-K,16.78
"1 adult, 2 children",1,2,2920,650,NC Pre-K,16.78
"1 adult, 3 children",1,3,2920,650,NC Pre-K,16.78
2 adults,2,0,2920,0,NC Pre-K,16.78
"2 adults, 1 child",2,1,2920,650,NC Pre-K,16.78
"2 adults, 2 children",2,2,2920,650,NC Pre-K,16.78
"2 adults, 3 children",2,3,2920,650,NC Pre-K,16.78
1 adult,1,0,2930,0,NC Pre-K,16.84
"1 adult, 1 child",1,1,2930,650,NC Pre-K,16.84
"1 adult, 2 children",1,2,2930,650,NC Pre-K,16.84
"1 adult, 3 children",1,3,2930,650,NC Pre-K,16.84
2 adults,2,0,2930,0,NC Pre-K,16.84
"2 adults, 1 child",2,1,2930,650,NC Pre-K,16.84
"2 adults, 2 children",2,2,2930,650,NC Pre-K,16.84
"2 adults, 3 children",2,3,2930,650,NC Pre-K,16.84
1 adult,1,0,2940,0,NC Pre-K,16.9
"1 adult, 1 child",1,1,2940,650,NC Pre-K,16.9
"1 adult, 2 children",1,2,2940,650,NC Pre-K,16.9
"1 adult, 3 children",1,3,2940,650,NC Pre-K,16.9
2 adults,2,0,2940,0,NC Pre-K,16.9
"2 adults, 1 child",2,1,2940,650,NC Pre-K,16.9
"2 adults, 2 children",2,2,2940,650,NC Pre-K,16.9
"2 adults, 3 children",2,3,2940,650,NC Pre-K,16.9
1 adult,1,0,2950,0,NC Pre-K,16.95
"1 adult, 1 child",1,1,2950,650,NC Pre-K,16.95
"1 adult, 2 children",1,2,2950,650,NC Pre-K,16.95
"1 adult, 3 children",1,3,2950,650,NC Pre-K,16.95
2 adults,2,0,2950,0,NC Pre-K,16.95
"2 adults, 1 child",2,1,2950,650,NC Pre-K,16.95
"2 adults, 2 children",2,2,2950,650,NC Pre-K,16.95
"2 adults, 3 children",2,3,2950,650,NC Pre-K,16.95
1 adult,1,0,2960,0,NC Pre-K,17.01
"1 adult, 1 child",1,1,2960,650,NC Pre-K,17.01
"1 adult, 2 children",1,2,2960,650,NC Pre-K,17.01
"1 adult, 3 children",1,3,2960,650,NC Pre-K,17.01
2 adults,2,0,2960,0,NC Pre-K,17.01
"2 adults, 1 child",2,1,2960,650,NC Pre-K,17.01
"2 adults, 2 children",2,2,2960,650,NC Pre-K,17.01
"2 adults, 3 children",2,3,2960,650,NC Pre-K,17.01
1 adult,1,0,2970,0,NC Pre-K,17.07
"1 adult, 1 child",1,1,2970,650,NC Pre-K,17.07
"1 adult, 2 children",1,2,2970,650,NC Pre-K,17.07
"1 adult, 3 children",1,3,2970,650,NC Pre-K,17.07
2 adults,2,0,2970,0,NC Pre-K,17.07
"2 adults, 1 child",2,1,2970,650,NC Pre-K,17.07
"2 adults, 2 children",2,2,2970,650,NC Pre-K,17.07
"2 adults, 3 children",2,3,2970,650,NC Pre-K,17.07
1 adult,1,0,2980,0,NC Pre-K,17.13
"1 adult, 1 child",1,1,2980,0,NC Pre-K,17.13
"1 adult, 2 children",1,2,2980,650,NC Pre-K,17.13
"1 adult, 3 children",1,3,2980,650,NC Pre-K,17.13
2 adults,2,0,2980,0,NC Pre-K,17.13
"2 adults, 1 child",2,1,2980,650,NC Pre-K,17.13
"2 adults, 2 children",2,2,2980,650,NC Pre-K,17.13
"2 adults, 3 children",2,3,2980,650,NC Pre-K,17.13
1 adult,1,0,2990,0,NC Pre-K,17.18
"1 adult, 1 child",1,1,2990,0,NC Pre-K,17.18
"1 adult, 2 children",1,2,2990,650,NC Pre-K,17.18
"1 adult, 3 children",1,3,2990,650,NC Pre-K,17.18
2 adults,2,0,2990,0,NC Pre-K,17.18
"2 adults, 1 child",2,1,2990,650,NC Pre-K,17.18
"2 adults, 2 children",2,2,2990,650,NC Pre-K,17.18
"2 adults, 3 children",2,3,2990,650,NC Pre-K,17.18
1 adult,1,0,3000,0,NC Pre-K,17.24
"1 adult, 1 child",1,1,3000,0,NC Pre-K,17.24
"1 adult, 2 children",1,2,3000,650,NC Pre-K,17.24
"1 adult, 3 children",1,3,3000,650,NC Pre-K,17.24
2 adults,2,0,3000,0,NC Pre-K,17.24
"2 adults, 1 child",2,1,3000,650,NC Pre-K,17.24
"2 adults, 2 children",2,2,3000,650,NC Pre-K,17.24
"2 adults, 3 children",2,3,3000,650,NC Pre-K,17.24
1 adult,1,0,3010,0,NC Pre-K,17.3
"1 adult, 1 child",1,1,3010,0,NC Pre-K,17.3
"1 adult, 2 children",1,2,3010,650,NC Pre-K,17.3
"1 adult, 3 children",1,3,3010,650,NC Pre-K,17.3
2 adults,2,0,3010,0,NC Pre-K,17.3
"2 adults, 1 child",2,1,3010,650,NC Pre-K,17.3
"2 adults, 2 children",2,2,3010,650,NC Pre-K,17.3
"2 adults, 3 children",2,3,3010,650,NC Pre-K,17.3
1 adult,1,0,3020,0,NC Pre-K,17.36
"1 adult, 1 child",1,1,3020,0,NC Pre-K,17.36
"1 adult, 2 children",1,2,3020,650,NC Pre-K,17.36
"1 adult, 3 children",1,3,3020,650,NC Pre-K,17.36
2 adults,2,0,3020,0,NC Pre-K,17.36
"2 adults, 1 child",2,1,3020,650,NC Pre-K,17.36
"2 adults, 2 children",2,2,3020,650,NC Pre-K,17.36
"2 adults, 3 children",2,3,3020,650,NC Pre-K,17.36
1 adult,1,0,3030,0,NC Pre-K,17.41
"1 adult, 1 child",1,1,3030,0,NC Pre-K,17.41
"1 adult, 2 children",1,2,3030,650,NC Pre-K,17.41
"1 adult, 3 children",1,3,3030,650,NC Pre-K,17.41
2 adults,2,0,3030,0,NC Pre-K,17.41
"2 adults, 1 child",2,1,3030,650,NC Pre-K,17.41
"2 adults, 2 children",2,2,3030,650,NC Pre-K,17.41
"2 adults, 3 children",2,3,3030,650,NC Pre-K,17.41
1 adult,1,0,3040,0,NC Pre-K,17.47
"1 adult, 1 child",1,1,3040,0,NC Pre-K,17.47
"1 adult, 2 children",1,2,3040,650,NC Pre-K,17.47
"1 adult, 3 children",1,3,3040,650,NC Pre-K,17.47
2 adults,2,0,3040,0,NC Pre-K,17.47
"2 adults, 1 child",2,1,3040,650,NC Pre-K,17.47
"2 adults, 2 children",2,2,3040,650,NC Pre-K,17.47
"2 adults, 3 children",2,3,3040,650,NC Pre-K,17.47
1 adult,1,0,3050,0,NC Pre-K,17.53
"1 adult, 1 child",1,1,3050,0,NC Pre-K,17.53
"1 adult, 2 children",1,2,3050,650,NC Pre-K,17.53
"1 adult, 3 children",1,3,3050,650,NC Pre-K,17.53
2 adults,2,0,3050,0,NC Pre-K,17.53
"2 adults, 1 child",2,1,3050,650,NC Pre-K,17.53
"2 adults, 2 children",2,2,3050,650,NC Pre-K,17.53
"2 adults, 3 children",2,3,3050,650,NC Pre-K,17.53
1 adult,1,0,3060,0,NC Pre-K,17.59
"1 adult, 1 child",1,1,3060,0,NC Pre-K,17.59
"1 adult, 2 children",1,2,3060,650,NC Pre-K,17.59
"1 adult, 3 children",1,3,3060,650,NC Pre-K,17.59
2 adults,2,0,3060,0,NC Pre-K,17.59
"2 adults, 1 child",2,1,3060,650,NC Pre-K,17.59
"2 adults, 2 children",2,2,3060,650,NC Pre-K,17.59
"2 adults, 3 children",2,3,3060,650,NC Pre-K,17.59
1 adult,1,0,3070,0,NC Pre-K,17.64
"1 adult, 1 child",1,1,3070,0,NC Pre-K,17.64
"1 adult, 2 children",1,2,3070,650,NC Pre-K,17.64
"1 adult, 3 children",1,3,3070,650,NC Pre-K,17.64
2 adults,2,0,3070,0,NC Pre-K,17.64
"2 adults, 1 child",2,1,3070,650,NC Pre-K,17.64
"2 adults, 2 children",2,2,3070,650,NC Pre-K,17.64
"2 adults, 3 children",2,3,3070,650,NC Pre-K,17.64
1 adult,1,0,3080,0,NC Pre-K,17.7
"1 adult, 1 child",1,1,3080,0,NC Pre-K,17.7
"1 adult, 2 children",1,2,3080,650,NC Pre-K,17.7
"1 adult, 3 children",1,3,3080,650,NC Pre-K,17.7
2 adults,2,0,3080,0,NC Pre-K,17.7
"2 adults, 1 child",2,1,3080,650,NC Pre-K,17.7
"2 adults, 2 children",2,2,3080,650,NC Pre-K,17.7
"2 adults, 3 children",2,3,3080,650,NC Pre-K,17.7
1 adult,1,0,3090,0,NC Pre-K,17.76
"1 adult, 1 child",1,1,3090,0,NC Pre-K,17.76
"1 adult, 2 children",1,2,3090,650,NC Pre-K,17.76
"1 adult, 3 children",1,3,3090,650,NC Pre-K,17.76
2 adults,2,0,3090,0,NC Pre-K,17.76
"2 adults, 1 child",2,1,3090,650,NC Pre-K,17.76
"2 adults, 2 children",2,2,3090,650,NC Pre-K,17.76
"2 adults, 3 children",2,3,3090,650,NC Pre-K,17.76
1 adult,1,0,3100,0,NC Pre-K,17.82
"1 adult, 1 child",1,1,3100,0,NC Pre-K,17.82
"1 adult, 2 children",1,2,3100,650,NC Pre-K,17.82
"1 adult, 3 children",1,3,3100,650,NC Pre-K,17.82
2 adults,2,0,3100,0,NC Pre-K,17.82
"2 adults, 1 child",2,1,3100,650,NC Pre-K,17.82
"2 adults, 2 children",2,2,3100,650,NC Pre-K,17.82
"2 adults, 3 children",2,3,3100,650,NC Pre-K,17.82
1 adult,1,0,3110,0,NC Pre-K,17.87
"1 adult, 1 child",1,1,3110,0,NC Pre-K,17.87
"1 adult, 2 children",1,2,3110,650,NC Pre-K,17.87
"1 adult, 3 children",1,3,3110,650,NC Pre-K,17.87
2 adults,2,0,3110,0,NC Pre-K,17.87
"2 adults, 1 child",2,1,3110,650,NC Pre-K,17.87
"2 adults, 2 children",2,2,3110,650,NC Pre-K,17.87
"2 adults, 3 children",2,3,3110,650,NC Pre-K,17.87
1 adult,1,0,3120,0,NC Pre-K,17.93
"1 adult, 1 child",1,1,3120,0,NC Pre-K,17.93
"1 adult, 2 children",1,2,3120,650,NC Pre-K,17.93
"1 adult, 3 children",1,3,3120,650,NC Pre-K,17.93
2 adults,2,0,3120,0,NC Pre-K,17.93
"2 adults, 1 child",2,1,3120,650,NC Pre-K,17.93
"2 adults, 2 children",2,2,3120,650,NC Pre-K,17.93
"2 adults, 3 children",2,3,3120,650,NC Pre-K,17.93
1 adult,1,0,3130,0,NC Pre-K,17.99
"1 adult, 1 child",1,1,3130,0,NC Pre-K,17.99
"1 adult, 2 children",1,2,3130,650,NC Pre-K,17.99
"1 adult, 3 children",1,3,3130,650,NC Pre-K,17.99
2 adults,2,0,3130,0,NC Pre-K,17.99
"2 adults, 1 child",2,1,3130,650,NC Pre-K,17.99
"2 adults, 2 children",2,2,3130,650,NC Pre-K,17.99
"2 adults, 3 children",2,3,3130,650,NC Pre-K,17.99
1 adult,1,0,3140,0,NC Pre-K,18.05
"1 adult, 1 child",1,1,3140,0,NC Pre-K,18.05
"1 adult, 2 children",1,2,3140,650,NC Pre-K,18.05
"1 adult, 3 children",1,3,3140,650,NC Pre-K,18.05
2 adults,2,0,3140,0,NC Pre-K,18.05
"2 adults, 1 child",2,1,3140,650,NC Pre-K,18.05
"2 adults, 2 children",2,2,3140,650,NC Pre-K,18.05
"2 adults, 3 children",2,3,3140,650,NC Pre-K,18.05
1 adult,1,0,3150,0,NC Pre-K,18.1
"1 adult, 1 child",1,1,3150,0,NC Pre-K,18.1
"1 adult, 2 children",1,2,3150,650,NC Pre-K,18.1
"1 adult, 3 children",1,3,3150,650,NC Pre-K,18.1
2 adults,2,0,3150,0,NC Pre-K,18.1
"2 adults, 1 child",2,1,3150,650,NC Pre-K,18.1
"2 adults, 2 children",2,2,3150,650,NC Pre-K,18.1
"2 adults, 3 children",2,3,3150,650,NC Pre-K,18.1
1 adult,1,0,3160,0,NC Pre-K,18.16
"1 adult, 1 child",1,1,3160,0,NC Pre-K,18.16
"1 adult, 2 children",1,2,3160,650,NC Pre-K,18.16
"1 adult, 3 children",1,3,3160,650,NC Pre-K,18.16
2 adults,2,0,3160,0,NC Pre-K,18.16
"2 adults, 1 child",2,1,3160,650,NC Pre-K,18.16
"2 adults, 2 children",2,2,3160,650,NC Pre-K,18.16
"2 adults, 3 children",2,3,3160,650,NC Pre-K,18.16
1 adult,1,0,3170,0,NC Pre-K,18.22
"1 adult, 1 child",1,1,3170,0,NC Pre-K,18.22
"1 adult, 2 children",1,2,3170,650,NC Pre-K,18.22
"1 adult, 3 children",1,3,3170,650,NC Pre-K,18.22
2 adults,2,0,3170,0,NC Pre-K,18.22
"2 adults, 1 child",2,1,3170,650,NC Pre-K,18.22
"2 adults, 2 children",2,2,3170,650,NC Pre-K,18.22
"2 adults, 3 children",2,3,3170,650,NC Pre-K,18.22
1 adult,1,0,3180,0,NC Pre-K,18.28
"1 adult, 1 child",1,1,3180,0,NC Pre-K,18.28
"1 adult, 2 children",1,2,3180,650,NC Pre-K,18.28
"1 adult, 3 children",1,3,3180,650,NC Pre-K,18.28
2 adults,2,0,3180,0,NC Pre-K,18.28
"2 adults, 1 child",2,1,3180,650,NC Pre-K,18.28
"2 adults, 2 children",2,2,3180,650,NC Pre-K,18.28
"2 adults, 3 children",2,3,3180,650,NC Pre-K,18.28
1 adult,1,0,3190,0,NC Pre-K,18.33
"1 adult, 1 child",1,1,3190,0,NC Pre-K,18.33
"1 adult, 2 children",1,2,3190,650,NC Pre-K,18.33
"1 adult, 3 children",1,3,3190,650,NC Pre-K,18.33
2 adults,2,0,3190,0,NC Pre-K,18.33
"2 adults, 1 child",2,1,3190,650,NC Pre-K,18.33
"2 adults, 2 children",2,2,3190,650,NC Pre-K,18.33
"2 adults, 3 children",2,3,3190,650,NC Pre-K,18.33
1 adult,1,0,3200,0,NC Pre-K,18.39
"1 adult, 1 child",1,1,3200,0,NC Pre-K,18.39
"1 adult, 2 children",1,2,3200,650,NC Pre-K,18.39
"1 adult, 3 children",1,3,3200,650,NC Pre-K,18.39
2 adults,2,0,3200,0,NC Pre-K,18.39
"2 adults, 1 child",2,1,3200,650,NC Pre-K,18.39
"2 adults, 2 children",2,2,3200,650,NC Pre-K,18.39
"2 adults, 3 children",2,3,3200,650,NC Pre-K,18.39
1 adult,1,0,3210,0,NC Pre-K,18.45
"1 adult, 1 child",1,1,3210,0,NC Pre-K,18.45
"1 adult, 2 children",1,2,3210,650,NC Pre-K,18.45
"1 adult, 3 children",1,3,3210,650,NC Pre-K,18.45
2 adults,2,0,3210,0,NC Pre-K,18.45
"2 adults, 1 child",2,1,3210,650,NC Pre-K,18.45
"2 adults, 2 children",2,2,3210,650,NC Pre-K,18.45
"2 adults, 3 children",2,3,3210,650,NC Pre-K,18.45
1 adult,1,0,3220,0,NC Pre-K,18.51
"1 adult, 1 child",1,1,3220,0,NC Pre-K,18.51
"1 adult, 2 children",1,2,3220,650,NC Pre-K,18.51
"1 adult, 3 children",1,3,3220,650,NC Pre-K,18.51
2 adults,2,0,3220,0,NC Pre-K,18.51
"2 adults, 1 child",2,1,3220,650,NC Pre-K,18.51
"2 adults, 2 children",2,2,3220,650,NC Pre-K,18.51
"2 adults, 3 children",2,3,3220,650,NC Pre-K,18.51
1 adult,1,0,3230,0,NC Pre-K,18.56
"1 adult, 1 child",1,1,3230,0,NC Pre-K,18.56
"1 adult, 2 children",1,2,3230,650,NC Pre-K,18.56
"1 adult, 3 children",1,3,3230,650,NC Pre-K,18.56
2 adults,2,0,3230,0,NC Pre-K,18.56
"2 adults, 1 child",2,1,3230,650,NC Pre-K,18.56
"2 adults, 2 children",2,2,3230,650,NC Pre-K,18.56
"2 adults, 3 children",2,3,3230,650,NC Pre-K,18.56
1 adult,1,0,3240,0,NC Pre-K,18.62
"1 adult, 1 child",1,1,3240,0,NC Pre-K,18.62
"1 adult, 2 children",1,2,3240,650,NC Pre-K,18.62
"1 adult, 3 children",1,3,3240,650,NC Pre-K,18.62
2 adults,2,0,3240,0,NC Pre-K,18.62
"2 adults, 1 child",2,1,3240,650,NC Pre-K,18.62
"2 adults, 2 children",2,2,3240,650,NC Pre-K,18.62
"2 adults, 3 children",2,3,3240,650,NC Pre-K,18.62
1 adult,1,0,3250,0,NC Pre-K,18.68
"1 adult, 1 child",1,1,3250,0,NC Pre-K,18.68
"1 adult, 2 children",1,2,3250,650,NC Pre-K,18.68
"1 adult, 3 children",1,3,3250,650,NC Pre-K,18.68
2 adults,2,0,3250,0,NC Pre-K,18.68
"2 adults, 1 child",2,1,3250,650,NC Pre-K,18.68
"2 adults, 2 children",2,2,3250,650,NC Pre-K,18.68
"2 adults, 3 children",2,3,3250,650,NC Pre-K,18.68
1 adult,1,0,3260,0,NC Pre-K,18.74
"1 adult, 1 child",1,1,3260,0,NC Pre-K,18.74
"1 adult, 2 children",1,2,3260,650,NC Pre-K,18.74
"1 adult, 3 children",1,3,3260,650,NC Pre-K,18.74
2 adults,2,0,3260,0,NC Pre-K,18.74
"2 adults, 1 child",2,1,3260,650,NC Pre-K,18.74
"2 adults, 2 children",2,2,3260,650,NC Pre-K,18.74
"2 adults, 3 children",2,3,3260,650,NC Pre-K,18.74
1 adult,1,0,3270,0,NC Pre-K,18.79
"1 adult, 1 child",1,1,3270,0,NC Pre-K,18.79
"1 adult, 2 children",1,2,3270,650,NC Pre-K,18.79
"1 adult, 3 children",1,3,3270,650,NC Pre-K,18.79
2 adults,2,0,3270,0,NC Pre-K,18.79
"2 adults, 1 child",2,1,3270,650,NC Pre-K,18.79
"2 adults, 2 children",2,2,3270,650,NC Pre-K,18.79
"2 adults, 3 children",2,3,3270,650,NC Pre-K,18.79
1 adult,1,0,3280,0,NC Pre-K,18.85
"1 adult, 1 child",1,1,3280,0,NC Pre-K,18.85
"1 adult, 2 children",1,2,3280,650,NC Pre-K,18.85
"1 adult, 3 children",1,3,3280,650,NC Pre-K,18.85
2 adults,2,0,3280,0,NC Pre-K,18.85
"2 adults, 1 child",2,1,3280,650,NC Pre-K,18.85
"2 adults, 2 children",2,2,3280,650,NC Pre-K,18.85
"2 adults, 3 children",2,3,3280,650,NC Pre-K,18.85
1 adult,1,0,3290,0,NC Pre-K,18.91
"1 adult, 1 child",1,1,3290,0,NC Pre-K,18.91
"1 adult, 2 children",1,2,3290,650,NC Pre-K,18.91
"1 adult, 3 children",1,3,3290,650,NC Pre-K,18.91
2 adults,2,0,3290,0,NC Pre-K,18.91
"2 adults, 1 child",2,1,3290,650,NC Pre-K,18.91
"2 adults, 2 children",2,2,3290,650,NC Pre-K,18.91
"2 adults, 3 children",2,3,3290,650,NC Pre-K,18.91
1 adult,1,0,3300,0,NC Pre-K,18.97
"1 adult, 1 child",1,1,3300,0,NC Pre-K,18.97
"1 adult, 2 children",1,2,3300,650,NC Pre-K,18.97
"1 adult, 3 children",1,3,3300,650,NC Pre-K,18.97
2 adults,2,0,3300,0,NC Pre-K,18.97
"2 adults, 1 child",2,1,3300,650,NC Pre-K,18.97
"2 adults, 2 children",2,2,3300,650,NC Pre-K,18.97
"2 adults, 3 children",2,3,3300,650,NC Pre-K,18.97
1 adult,1,0,3310,0,NC Pre-K,19.02
"1 adult, 1 child",1,1,3310,0,NC Pre-K,19.02
"1 adult, 2 children",1,2,3310,650,NC Pre-K,19.02
"1 adult, 3 children",1,3,3310,650,NC Pre-K,19.02
2 adults,2,0,3310,0,NC Pre-K,19.02
"2 adults, 1 child",2,1,3310,650,NC Pre-K,19.02
"2 adults, 2 children",2,2,3310,650,NC Pre-K,19.02
"2 adults, 3 children",2,3,3310,650,NC Pre-K,19.02
1 adult,1,0,3320,0,NC Pre-K,19.08
"1 adult, 1 child",1,1,3320,0,NC Pre-K,19.08
"1 adult, 2 children",1,2,3320,650,NC Pre-K,19.08
"1 adult, 3 children",1,3,3320,650,NC Pre-K,19.08
2 adults,2,0,3320,0,NC Pre-K,19.08
"2 adults, 1 child",2,1,3320,650,NC Pre-K,19.08
"2 adults, 2 children",2,2,3320,650,NC Pre-K,19.08
"2 adults, 3 children",2,3,3320,650,NC Pre-K,19.08
1 adult,1,0,3330,0,NC Pre-K,19.14
"1 adult, 1 child",1,1,3330,0,NC Pre-K,19.14
"1 adult, 2 children",1,2,3330,650,NC Pre-K,19.14
"1 adult, 3 children",1,3,3330,650,NC Pre-K,19.14
2 adults,2,0,3330,0,NC Pre-K,19.14
"2 adults, 1 child",2,1,3330,650,NC Pre-K,19.14
"2 adults, 2 children",2,2,3330,650,NC Pre-K,19.14
"2 adults, 3 children",2,3,3330,650,NC Pre-K,19.14
1 adult,1,0,3340,0,NC Pre-K,19.2
"1 adult, 1 child",1,1,3340,0,NC Pre-K,19.2
"1 adult, 2 children",1,2,3340,650,NC Pre-K,19.2
"1 adult, 3 children",1,3,3340,650,NC Pre-K,19.2
2 adults,2,0,3340,0,NC Pre-K,19.2
